kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(ns),task_stop(ns)
,event record task,447,124,"""0.01""","""1618703280169891832""","""1618703280169891842"""
,memory copy task,447,125,"""0.94""","""1618703280169891942""","""1618703280169892882"""
,memory copy task,447,126,"""0.81""","""1618703280169892992""","""1618703280169893802"""
,memory copy task,447,127,"""0.81""","""1618703280169893902""","""1618703280169894712"""
,memory copy task,447,128,"""0.8""","""1618703280169894812""","""1618703280169895612"""
,memory copy task,447,129,"""1.06""","""1618703280169895722""","""1618703280169896782"""
,event record task,447,130,"""0.01""","""1618703280169896882""","""1618703280169896892"""
,memory copy task,447,131,"""1.01""","""1618703280169896992""","""1618703280169898002"""
,memory copy task,447,132,"""0.93""","""1618703280169898102""","""1618703280169899032"""
,memory copy task,447,133,"""0.73""","""1618703280169899132""","""1618703280169899862"""
,memory copy task,447,134,"""0.71""","""1618703280169899962""","""1618703280169900672"""
,memory copy task,447,135,"""0.76""","""1618703280169900772""","""1618703280169901532"""
,memory copy task,447,136,"""1.51""","""1618703280169901642""","""1618703280169903152"""
,memory copy task,447,137,"""1.15""","""1618703280169903252""","""1618703280169904402"""
,memory copy task,447,138,"""1.03""","""1618703280169904502""","""1618703280169905532"""
,memory copy task,447,139,"""0.93""","""1618703280169905632""","""1618703280169906562"""
,event record task,447,140,"""0.0""","""1618703280169906672""","""1618703280169906672"""
,memory copy task,447,141,"""0.87""","""1618703280169906782""","""1618703280169907652"""
,memory copy task,447,142,"""0.81""","""1618703280169907752""","""1618703280169908562"""
,memory copy task,447,143,"""0.81""","""1618703280169908672""","""1618703280169909482"""
,memory copy task,447,144,"""0.82""","""1618703280169909582""","""1618703280169910402"""
,event record task,675,7,"""0.01""","""1618703280169968592""","""1618703280169968602"""
,memory copy task,447,145,"""162.06""","""1618703280169910502""","""1618703280170072562"""
,memory copy task,447,146,"""159.78""","""1618703280170072662""","""1618703280170232442"""
,memory copy task,447,147,"""1.31""","""1618703280170232552""","""1618703280170233862"""
,memory copy task,447,148,"""1.4""","""1618703280170233962""","""1618703280170235362"""
,memory copy task,447,149,"""1.06""","""1618703280170235472""","""1618703280170236532"""
,event record task,447,150,"""0.0""","""1618703280170236642""","""1618703280170236642"""
,memory copy task,447,151,"""0.81""","""1618703280170236752""","""1618703280170237562"""
,memory copy task,447,152,"""0.91""","""1618703280170237662""","""1618703280170238572"""
,memory copy task,447,153,"""0.78""","""1618703280170238682""","""1618703280170239462"""
,memory copy task,447,154,"""0.77""","""1618703280170239562""","""1618703280170240332"""
,memory copy task,447,155,"""0.81""","""1618703280170240432""","""1618703280170241242"""
,memory copy task,447,156,"""1.16""","""1618703280170241342""","""1618703280170242502"""
,memory copy task,447,157,"""0.89""","""1618703280170242612""","""1618703280170243502"""
,memory copy task,447,158,"""0.79""","""1618703280170243602""","""1618703280170244392"""
,event record task,447,159,"""0.01""","""1618703280170244492""","""1618703280170244502"""
,memory copy task,447,160,"""0.79""","""1618703280170244602""","""1618703280170245392"""
,memory copy task,447,161,"""0.92""","""1618703280170245492""","""1618703280170246412"""
,memory copy task,447,162,"""0.82""","""1618703280170246522""","""1618703280170247342"""
,memory copy task,447,163,"""0.79""","""1618703280170247442""","""1618703280170248232"""
,memory copy task,447,164,"""0.77""","""1618703280170248332""","""1618703280170249102"""
,memory copy task,447,165,"""81.86""","""1618703280170249202""","""1618703280170331062"""
,memory copy task,447,166,"""79.02""","""1618703280170331162""","""1618703280170410182"""
,memory copy task,447,167,"""159.03""","""1618703280170410282""","""1618703280170569312"""
,event record task,675,9,"""0.01""","""1618703280170636272""","""1618703280170636282"""
,memory copy task,447,168,"""156.69""","""1618703280170569422""","""1618703280170726112"""
,memory copy task,447,169,"""1.32""","""1618703280170726212""","""1618703280170727532"""
,memory copy task,447,170,"""1.03""","""1618703280170727642""","""1618703280170728672"""
,memory copy task,447,171,"""1.35""","""1618703280170728772""","""1618703280170730122"""
,event record task,447,172,"""0.01""","""1618703280170730222""","""1618703280170730232"""
,memory copy task,447,173,"""0.81""","""1618703280170730332""","""1618703280170731142"""
,memory copy task,447,174,"""0.95""","""1618703280170731252""","""1618703280170732202"""
,memory copy task,447,175,"""0.79""","""1618703280170732312""","""1618703280170733102"""
,memory copy task,447,176,"""0.81""","""1618703280170733212""","""1618703280170734022"""
,memory copy task,447,177,"""0.8""","""1618703280170734122""","""1618703280170734922"""
,memory copy task,447,178,"""1.26""","""1618703280170735022""","""1618703280170736282"""
,memory copy task,447,179,"""0.97""","""1618703280170736382""","""1618703280170737352"""
,memory copy task,447,180,"""0.79""","""1618703280170737452""","""1618703280170738242"""
,event record task,447,181,"""0.01""","""1618703280170738342""","""1618703280170738352"""
,memory copy task,447,182,"""0.83""","""1618703280170738452""","""1618703280170739282"""
,memory copy task,447,183,"""1.02""","""1618703280170739392""","""1618703280170740412"""
,memory copy task,447,184,"""0.79""","""1618703280170740512""","""1618703280170741302"""
,memory copy task,447,185,"""0.77""","""1618703280170741412""","""1618703280170742182"""
,memory copy task,447,186,"""0.81""","""1618703280170742282""","""1618703280170743092"""
,memory copy task,447,187,"""41.34""","""1618703280170743202""","""1618703280170784542"""
,memory copy task,447,188,"""39.48""","""1618703280170784652""","""1618703280170824132"""
,memory copy task,447,189,"""0.74""","""1618703280170824242""","""1618703280170824982"""
,event record task,447,190,"""0.01""","""1618703280170825082""","""1618703280170825092"""
,memory copy task,447,191,"""0.94""","""1618703280170825192""","""1618703280170826132"""
,memory copy task,447,192,"""1.07""","""1618703280170826232""","""1618703280170827302"""
,memory copy task,447,193,"""0.84""","""1618703280170827412""","""1618703280170828252"""
,memory copy task,447,194,"""0.94""","""1618703280170828352""","""1618703280170829292"""
,memory copy task,447,195,"""0.87""","""1618703280170829402""","""1618703280170830272"""
,memory copy task,447,196,"""1.07""","""1618703280170830372""","""1618703280170831442"""
,memory copy task,447,197,"""0.83""","""1618703280170831542""","""1618703280170832372"""
,memory copy task,447,198,"""0.89""","""1618703280170832472""","""1618703280170833362"""
,event record task,447,199,"""0.0""","""1618703280170833472""","""1618703280170833472"""
,memory copy task,447,200,"""0.94""","""1618703280170833582""","""1618703280170834522"""
,memory copy task,447,201,"""0.92""","""1618703280170834622""","""1618703280170835542"""
,memory copy task,447,202,"""0.73""","""1618703280170835652""","""1618703280170836382"""
,memory copy task,447,203,"""0.8""","""1618703280170836492""","""1618703280170837292"""
,memory copy task,447,204,"""0.74""","""1618703280170837402""","""1618703280170838142"""
,memory copy task,447,205,"""0.96""","""1618703280170838242""","""1618703280170839202"""
,memory copy task,447,206,"""0.84""","""1618703280170839302""","""1618703280170840142"""
,memory copy task,447,207,"""0.87""","""1618703280170840242""","""1618703280170841112"""
,event record task,447,208,"""0.01""","""1618703280170841212""","""1618703280170841222"""
,memory copy task,447,209,"""0.93""","""1618703280170841322""","""1618703280170842252"""
,memory copy task,447,210,"""0.98""","""1618703280170842352""","""1618703280170843332"""
,memory copy task,447,211,"""0.81""","""1618703280170843432""","""1618703280170844242"""
,memory copy task,447,212,"""0.77""","""1618703280170844342""","""1618703280170845112"""
,memory copy task,447,213,"""0.77""","""1618703280170845222""","""1618703280170845992"""
,memory copy task,447,214,"""20.93""","""1618703280170846102""","""1618703280170867032"""
,memory copy task,447,215,"""22.23""","""1618703280170867132""","""1618703280170889362"""
,memory copy task,447,216,"""38.69""","""1618703280170889472""","""1618703280170928162"""
,memory copy task,447,217,"""41.56""","""1618703280170928272""","""1618703280170969832"""
,memory copy task,447,218,"""1.31""","""1618703280170969932""","""1618703280170971242"""
,memory copy task,447,219,"""0.97""","""1618703280170971342""","""1618703280170972312"""
,memory copy task,447,220,"""1.02""","""1618703280170972422""","""1618703280170973442"""
,event record task,447,221,"""0.01""","""1618703280170973542""","""1618703280170973552"""
,memory copy task,447,222,"""0.88""","""1618703280170973652""","""1618703280170974532"""
,memory copy task,447,223,"""0.91""","""1618703280170974632""","""1618703280170975542"""
,memory copy task,447,224,"""0.74""","""1618703280170975642""","""1618703280170976382"""
,memory copy task,447,225,"""0.81""","""1618703280170976482""","""1618703280170977292"""
,memory copy task,447,226,"""0.79""","""1618703280170977402""","""1618703280170978192"""
,memory copy task,447,227,"""0.95""","""1618703280170978292""","""1618703280170979242"""
,memory copy task,447,228,"""0.84""","""1618703280170979352""","""1618703280170980192"""
,memory copy task,447,229,"""0.87""","""1618703280170980292""","""1618703280170981162"""
,event record task,447,230,"""0.01""","""1618703280170981262""","""1618703280170981272"""
,memory copy task,447,231,"""0.93""","""1618703280170981372""","""1618703280170982302"""
,memory copy task,447,232,"""0.87""","""1618703280170982402""","""1618703280170983272"""
,memory copy task,447,233,"""0.77""","""1618703280170983382""","""1618703280170984152"""
,memory copy task,447,234,"""0.77""","""1618703280170984262""","""1618703280170985032"""
,memory copy task,447,235,"""0.81""","""1618703280170985132""","""1618703280170985942"""
,memory copy task,447,236,"""10.67""","""1618703280170986042""","""1618703280170996712"""
,memory copy task,447,237,"""11.12""","""1618703280170996812""","""1618703280171007932"""
,memory copy task,447,238,"""1.07""","""1618703280171008042""","""1618703280171009112"""
,memory copy task,447,239,"""0.96""","""1618703280171009222""","""1618703280171010182"""
,memory copy task,447,240,"""1.22""","""1618703280171010292""","""1618703280171011512"""
,memory copy task,447,241,"""0.92""","""1618703280171011622""","""1618703280171012542"""
,memory copy task,447,242,"""0.89""","""1618703280171012652""","""1618703280171013542"""
,event record task,447,243,"""0.01""","""1618703280171013642""","""1618703280171013652"""
,memory copy task,447,244,"""0.92""","""1618703280171013752""","""1618703280171014672"""
,memory copy task,447,245,"""0.9""","""1618703280171014772""","""1618703280171015672"""
,memory copy task,447,246,"""0.77""","""1618703280171015772""","""1618703280171016542"""
,memory copy task,447,247,"""0.89""","""1618703280171016652""","""1618703280171017542"""
,memory copy task,447,248,"""0.77""","""1618703280171017642""","""1618703280171018412"""
,memory copy task,447,249,"""0.95""","""1618703280171018512""","""1618703280171019462"""
,memory copy task,447,250,"""0.8""","""1618703280171019562""","""1618703280171020362"""
,memory copy task,447,251,"""0.89""","""1618703280171020462""","""1618703280171021352"""
,event record task,447,252,"""0.0""","""1618703280171021462""","""1618703280171021462"""
,memory copy task,447,253,"""0.88""","""1618703280171021572""","""1618703280171022452"""
,memory copy task,447,254,"""0.97""","""1618703280171022552""","""1618703280171023522"""
,memory copy task,447,255,"""0.76""","""1618703280171023622""","""1618703280171024382"""
,memory copy task,447,256,"""0.77""","""1618703280171024492""","""1618703280171025262"""
,memory copy task,447,257,"""0.71""","""1618703280171025362""","""1618703280171026072"""
,memory copy task,447,258,"""6.01""","""1618703280171026172""","""1618703280171032182"""
,memory copy task,447,259,"""6.16""","""1618703280171032282""","""1618703280171038442"""
,memory copy task,447,260,"""10.83""","""1618703280171038542""","""1618703280171049372"""
,memory copy task,447,261,"""10.85""","""1618703280171049482""","""1618703280171060332"""
,memory copy task,447,262,"""1.21""","""1618703280171060432""","""1618703280171061642"""
,memory copy task,447,263,"""0.89""","""1618703280171061742""","""1618703280171062632"""
,memory copy task,447,264,"""1.21""","""1618703280171062732""","""1618703280171063942"""
,event record task,447,265,"""0.0""","""1618703280171064052""","""1618703280171064052"""
,memory copy task,447,266,"""1.05""","""1618703280171064162""","""1618703280171065212"""
,memory copy task,447,267,"""1.18""","""1618703280171065312""","""1618703280171066492"""
,memory copy task,447,268,"""0.98""","""1618703280171066592""","""1618703280171067572"""
,memory copy task,447,269,"""1.19""","""1618703280171067682""","""1618703280171068872"""
,memory copy task,447,270,"""0.99""","""1618703280171068972""","""1618703280171069962"""
,memory copy task,447,271,"""1.14""","""1618703280171070062""","""1618703280171071202"""
,memory copy task,447,272,"""0.91""","""1618703280171071302""","""1618703280171072212"""
,memory copy task,447,273,"""1.12""","""1618703280171072312""","""1618703280171073432"""
,event record task,447,274,"""0.0""","""1618703280171073542""","""1618703280171073542"""
,memory copy task,447,275,"""1.03""","""1618703280171073642""","""1618703280171074672"""
,memory copy task,447,276,"""1.06""","""1618703280171074772""","""1618703280171075832"""
,memory copy task,447,277,"""1.06""","""1618703280171075932""","""1618703280171076992"""
,memory copy task,447,278,"""1.07""","""1618703280171077092""","""1618703280171078162"""
,memory copy task,447,279,"""1.04""","""1618703280171078262""","""1618703280171079302"""
,event record task,675,11,"""0.0""","""1618703280171230392""","""1618703280171230392"""
,event record task,675,13,"""0.01""","""1618703280171538262""","""1618703280171538272"""
,event reset task,448,17,"""0.05""","""1618703280171564082""","""1618703280171564132"""
0_1_discriminator/resblock_down_1/res1/conv_0/kernel/Initializer/truncated_normal/mul,kernel AI core task,448,18,"""3.72""","""1618703280171564262""","""1618703280171567982"""
,event record task,675,15,"""0.0""","""1618703280171959692""","""1618703280171959692"""
,event reset task,448,20,"""0.05""","""1618703280171987022""","""1618703280171987072"""
0_1_discriminator/resblock_down_1/skip/conv_0/kernel/Initializer/truncated_normal/mul,kernel AI core task,448,21,"""1.92""","""1618703280171987402""","""1618703280171989322"""
,stream wait event task,448,22,"""0.01""","""1618703280171989422""","""1618703280171989432"""
,event reset task,448,23,"""0.05""","""1618703280171989822""","""1618703280171989872"""
0_1_discriminator/self_attention/attn_conv/kernel/Initializer/truncated_normal/mul,kernel AI core task,448,24,"""3.18""","""1618703280171990262""","""1618703280171993442"""
,stream wait event task,448,25,"""0.01""","""1618703280171993542""","""1618703280171993552"""
,event reset task,448,26,"""0.04""","""1618703280171993972""","""1618703280171994012"""
0_1_generator/resblock_up_2/res1/batch_norm/beta/dense/kernel/Initializer/truncated_normal/mul,kernel AI core task,448,27,"""3.44""","""1618703280171994372""","""1618703280171997812"""
,stream wait event task,448,28,"""0.0""","""1618703280171997922""","""1618703280171997922"""
,event reset task,448,29,"""0.05""","""1618703280171998322""","""1618703280171998372"""
0_1_generator/resblock_up_2/res1/batch_norm/gamma/dense/kernel/Initializer/truncated_normal/mul,kernel AI core task,448,30,"""2.6""","""1618703280171998472""","""1618703280172001072"""
,stream wait event task,448,31,"""0.01""","""1618703280172001172""","""1618703280172001182"""
,event reset task,448,32,"""0.05""","""1618703280172001282""","""1618703280172001332"""
0_1_generator/resblock_up_4/res2/batch_norm/beta/dense/kernel/Initializer/truncated_normal/mul,kernel AI core task,448,33,"""2.8""","""1618703280172001692""","""1618703280172004492"""
,stream wait event task,448,34,"""0.0""","""1618703280172004602""","""1618703280172004602"""
,event reset task,448,35,"""0.05""","""1618703280172004712""","""1618703280172004762"""
0_1_generator/resblock_up_4/res2/batch_norm/gamma/dense/kernel/Initializer/truncated_normal/mul,kernel AI core task,448,36,"""2.61""","""1618703280172004862""","""1618703280172007472"""
0_1_discriminator/resblock_down_1/res1/conv_0/kernel/Assign,kernel AI core task,448,37,"""1.63""","""1618703280172007572""","""1618703280172009202"""
,event record task,675,17,"""0.01""","""1618703280172389292""","""1618703280172389302"""
,event reset task,448,39,"""0.05""","""1618703280172408802""","""1618703280172408852"""
0_1_generator/resblock_up_1/res1/batch_norm/beta/dense/kernel/Initializer/truncated_normal/mul,kernel AI core task,448,40,"""3.28""","""1618703280172408952""","""1618703280172412232"""
,event record task,675,19,"""0.0""","""1618703280172798022""","""1618703280172798022"""
,event reset task,448,42,"""0.05""","""1618703280172812962""","""1618703280172813012"""
0_1_generator/resblock_up_1/res1/batch_norm/gamma/dense/kernel/Initializer/truncated_normal/mul,kernel AI core task,448,43,"""2.72""","""1618703280172813112""","""1618703280172815832"""
,event record task,675,21,"""0.01""","""1618703280173014602""","""1618703280173014612"""
,event reset task,448,45,"""0.05""","""1618703280173031432""","""1618703280173031482"""
0_1_discriminator/resblock_down_1/res1/conv_0/u/Assign,kernel AI core task,448,46,"""1.6""","""1618703280173031862""","""1618703280173033462"""
,memory copy task,448,47,"""1.28""","""1618703280173033822""","""1618703280173035102"""
,memory copy task,448,48,"""1.1""","""1618703280173035202""","""1618703280173036302"""
