kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(ns),task_stop(ns)
,memory copy task,222,35,"""0.88""","""1619056986117587946""","""1619056986117588826"""
,memory copy task,222,36,"""0.83""","""1619056986117588926""","""1619056986117589756"""
,memory copy task,222,37,"""0.74""","""1619056986117589856""","""1619056986117590596"""
,memory copy task,222,38,"""0.79""","""1619056986117590706""","""1619056986117591496"""
,memory copy task,222,39,"""0.75""","""1619056986117591596""","""1619056986117592346"""
,memory copy task,222,40,"""0.94""","""1619056986117592446""","""1619056986117593386"""
,memory copy task,222,41,"""0.81""","""1619056986117593486""","""1619056986117594296"""
,memory copy task,222,42,"""0.86""","""1619056986117594396""","""1619056986117595256"""
,event record task,222,43,"""0.01""","""1619056986117595356""","""1619056986117595366"""
,memory copy task,222,44,"""0.85""","""1619056986117595466""","""1619056986117596316"""
,memory copy task,222,45,"""1.01""","""1619056986117596426""","""1619056986117597436"""
,memory copy task,222,46,"""0.76""","""1619056986117597536""","""1619056986117598296"""
,memory copy task,222,47,"""0.79""","""1619056986117598396""","""1619056986117599186"""
,memory copy task,222,48,"""0.74""","""1619056986117599286""","""1619056986117600026"""
,memory copy task,222,49,"""2.35""","""1619056986117600126""","""1619056986117602476"""
,memory copy task,222,50,"""2.1""","""1619056986117602576""","""1619056986117604676"""
,memory copy task,222,51,"""3.58""","""1619056986117604786""","""1619056986117608366"""
,memory copy task,222,52,"""3.58""","""1619056986117608466""","""1619056986117612046"""
,memory copy task,222,53,"""0.87""","""1619056986117612146""","""1619056986117613016"""
,event record task,222,54,"""0.01""","""1619056986117613116""","""1619056986117613126"""
,memory copy task,222,55,"""0.74""","""1619056986117613226""","""1619056986117613966"""
,memory copy task,222,56,"""0.97""","""1619056986117614076""","""1619056986117615046"""
,memory copy task,222,57,"""1.19""","""1619056986117615156""","""1619056986117616346"""
,memory copy task,222,58,"""0.78""","""1619056986117616446""","""1619056986117617226"""
,memory copy task,222,59,"""0.75""","""1619056986117617326""","""1619056986117618076"""
,memory copy task,222,60,"""0.86""","""1619056986117618176""","""1619056986117619036"""
,event record task,222,61,"""0.01""","""1619056986117619136""","""1619056986117619146"""
,memory copy task,222,62,"""0.86""","""1619056986117619246""","""1619056986117620106"""
,memory copy task,222,63,"""0.87""","""1619056986117620206""","""1619056986117621076"""
,memory copy task,222,64,"""0.8""","""1619056986117621176""","""1619056986117621976"""
,memory copy task,222,65,"""0.72""","""1619056986117622086""","""1619056986117622806"""
,memory copy task,222,66,"""0.77""","""1619056986117622906""","""1619056986117623676"""
,memory copy task,222,67,"""1.04""","""1619056986117623776""","""1619056986117624816"""
,memory copy task,222,68,"""0.82""","""1619056986117624916""","""1619056986117625736"""
,memory copy task,222,69,"""8.84""","""1619056986117625856""","""1619056986117634696"""
,memory copy task,222,70,"""8.28""","""1619056986117634796""","""1619056986117643076"""
,memory copy task,222,71,"""1.42""","""1619056986117643176""","""1619056986117644596"""
,event record task,222,72,"""0.0""","""1619056986117644706""","""1619056986117644706"""
,memory copy task,222,73,"""1.28""","""1619056986117644816""","""1619056986117646096"""
,memory copy task,222,74,"""1.26""","""1619056986117646196""","""1619056986117647456"""
,memory copy task,222,75,"""1.13""","""1619056986117647566""","""1619056986117648696"""
,memory copy task,222,76,"""1.19""","""1619056986117648796""","""1619056986117649986"""
,memory copy task,222,77,"""0.95""","""1619056986117650086""","""1619056986117651036"""
,memory copy task,222,78,"""1.57""","""1619056986117651136""","""1619056986117652706"""
,memory copy task,222,79,"""1.19""","""1619056986117652806""","""1619056986117653996"""
,memory copy task,222,80,"""1.13""","""1619056986117654096""","""1619056986117655226"""
,event record task,222,81,"""0.01""","""1619056986117655326""","""1619056986117655336"""
,memory copy task,222,82,"""0.94""","""1619056986117655446""","""1619056986117656386"""
,memory copy task,222,83,"""0.95""","""1619056986117656496""","""1619056986117657446"""
,memory copy task,222,84,"""0.81""","""1619056986117657546""","""1619056986117658356"""
,memory copy task,222,85,"""0.82""","""1619056986117658456""","""1619056986117659276"""
,memory copy task,222,86,"""0.83""","""1619056986117659386""","""1619056986117660216"""
,memory copy task,222,87,"""1.47""","""1619056986117660316""","""1619056986117661786"""
,memory copy task,222,88,"""1.1""","""1619056986117661886""","""1619056986117662986"""
,memory copy task,222,89,"""0.92""","""1619056986117663086""","""1619056986117664006"""
,event record task,222,90,"""0.0""","""1619056986117664116""","""1619056986117664116"""
,memory copy task,222,91,"""0.81""","""1619056986117664226""","""1619056986117665036"""
,memory copy task,222,92,"""1.4""","""1619056986117665136""","""1619056986117666536"""
,memory copy task,222,93,"""0.83""","""1619056986117666636""","""1619056986117667466"""
,memory copy task,222,94,"""0.8""","""1619056986117667566""","""1619056986117668366"""
,memory copy task,222,95,"""0.81""","""1619056986117668466""","""1619056986117669276"""
,memory copy task,222,96,"""316.82""","""1619056986117669386""","""1619056986117986206"""
,memory copy task,222,97,"""317.76""","""1619056986117986316""","""1619056986118304076"""
,memory copy task,222,98,"""1.57""","""1619056986118304176""","""1619056986118305746"""
,memory copy task,222,99,"""1.14""","""1619056986118305846""","""1619056986118306986"""
,memory copy task,222,100,"""1.17""","""1619056986118307096""","""1619056986118308266"""
,event record task,222,101,"""0.01""","""1619056986118308366""","""1619056986118308376"""
,memory copy task,222,102,"""0.82""","""1619056986118308476""","""1619056986118309296"""
,memory copy task,222,103,"""0.92""","""1619056986118309406""","""1619056986118310326"""
,memory copy task,222,104,"""0.81""","""1619056986118310426""","""1619056986118311236"""
,memory copy task,222,105,"""0.79""","""1619056986118311336""","""1619056986118312126"""
,memory copy task,222,106,"""0.81""","""1619056986118312226""","""1619056986118313036"""
,memory copy task,222,107,"""1.45""","""1619056986118313136""","""1619056986118314586"""
,memory copy task,222,108,"""1.16""","""1619056986118314696""","""1619056986118315856"""
,memory copy task,222,109,"""0.9""","""1619056986118315956""","""1619056986118316856"""
,event record task,222,110,"""0.01""","""1619056986118316956""","""1619056986118316966"""
,memory copy task,222,111,"""0.92""","""1619056986118317066""","""1619056986118317986"""
,memory copy task,222,112,"""0.92""","""1619056986118318086""","""1619056986118319006"""
,memory copy task,222,113,"""0.98""","""1619056986118319116""","""1619056986118320096"""
,memory copy task,222,114,"""0.8""","""1619056986118320196""","""1619056986118320996"""
,memory copy task,222,115,"""0.8""","""1619056986118321096""","""1619056986118321896"""
,event record task,848,3,"""0.01""","""1619056986118561456""","""1619056986118561466"""
,memory copy task,222,116,"""316.07""","""1619056986118322006""","""1619056986118638076"""
,memory copy task,222,117,"""280.07""","""1619056986118638176""","""1619056986118918246"""
,memory copy task,222,118,"""323.57""","""1619056986118918346""","""1619056986119241916"""
,event record task,848,5,"""0.01""","""1619056986119302936""","""1619056986119302946"""
,memory copy task,222,119,"""310.2""","""1619056986119242016""","""1619056986119552216"""
,memory copy task,222,120,"""1.55""","""1619056986119552316""","""1619056986119553866"""
,memory copy task,222,121,"""1.25""","""1619056986119553966""","""1619056986119555216"""
,memory copy task,222,122,"""0.99""","""1619056986119555326""","""1619056986119556316"""
,memory copy task,222,123,"""1.08""","""1619056986119556426""","""1619056986119557506"""
,event record task,222,124,"""0.01""","""1619056986119557606""","""1619056986119557616"""
,memory copy task,222,125,"""0.93""","""1619056986119557716""","""1619056986119558646"""
,memory copy task,222,126,"""0.81""","""1619056986119558756""","""1619056986119559566"""
,memory copy task,222,127,"""0.81""","""1619056986119559676""","""1619056986119560486"""
,memory copy task,222,128,"""0.81""","""1619056986119560586""","""1619056986119561396"""
,memory copy task,222,129,"""1.06""","""1619056986119561496""","""1619056986119562556"""
,event record task,222,130,"""0.0""","""1619056986119562666""","""1619056986119562666"""
,memory copy task,222,131,"""0.89""","""1619056986119562776""","""1619056986119563666"""
,memory copy task,222,132,"""0.86""","""1619056986119563776""","""1619056986119564636"""
,memory copy task,222,133,"""0.73""","""1619056986119564746""","""1619056986119565476"""
,memory copy task,222,134,"""0.68""","""1619056986119565576""","""1619056986119566256"""
,memory copy task,222,135,"""0.77""","""1619056986119566366""","""1619056986119567136"""
,memory copy task,222,136,"""1.57""","""1619056986119567236""","""1619056986119568806"""
,memory copy task,222,137,"""1.15""","""1619056986119568906""","""1619056986119570056"""
,memory copy task,222,138,"""0.96""","""1619056986119570156""","""1619056986119571116"""
,memory copy task,222,139,"""1.06""","""1619056986119571216""","""1619056986119572276"""
,event record task,222,140,"""0.0""","""1619056986119572386""","""1619056986119572386"""
,memory copy task,222,141,"""0.8""","""1619056986119572496""","""1619056986119573296"""
,memory copy task,222,142,"""0.8""","""1619056986119573406""","""1619056986119574206"""
,memory copy task,222,143,"""0.88""","""1619056986119574316""","""1619056986119575196"""
,memory copy task,222,144,"""0.81""","""1619056986119575306""","""1619056986119576116"""
,memory copy task,222,145,"""163.5""","""1619056986119576216""","""1619056986119739716"""
,memory copy task,222,146,"""157.45""","""1619056986119739816""","""1619056986119897266"""
,memory copy task,222,147,"""1.25""","""1619056986119897366""","""1619056986119898616"""
,memory copy task,222,148,"""1.04""","""1619056986119898726""","""1619056986119899766"""
,memory copy task,222,149,"""1.37""","""1619056986119899866""","""1619056986119901236"""
,event record task,222,150,"""0.01""","""1619056986119901336""","""1619056986119901346"""
,memory copy task,222,151,"""0.82""","""1619056986119901446""","""1619056986119902266"""
,memory copy task,222,152,"""0.92""","""1619056986119902366""","""1619056986119903286"""
,memory copy task,222,153,"""0.79""","""1619056986119903386""","""1619056986119904176"""
,memory copy task,222,154,"""0.77""","""1619056986119904276""","""1619056986119905046"""
,memory copy task,222,155,"""0.81""","""1619056986119905146""","""1619056986119905956"""
,memory copy task,222,156,"""1.21""","""1619056986119906056""","""1619056986119907266"""
,memory copy task,222,157,"""0.92""","""1619056986119907376""","""1619056986119908296"""
,memory copy task,222,158,"""0.9""","""1619056986119908396""","""1619056986119909296"""
,event record task,222,159,"""0.0""","""1619056986119909406""","""1619056986119909406"""
,memory copy task,222,160,"""0.79""","""1619056986119909516""","""1619056986119910306"""
,memory copy task,222,161,"""0.91""","""1619056986119910406""","""1619056986119911316"""
,memory copy task,222,162,"""0.8""","""1619056986119911426""","""1619056986119912226"""
,memory copy task,222,163,"""0.78""","""1619056986119912336""","""1619056986119913116"""
,memory copy task,222,164,"""0.77""","""1619056986119913226""","""1619056986119913996"""
,memory copy task,222,165,"""82.33""","""1619056986119914096""","""1619056986119996426"""
,event record task,848,7,"""0.01""","""1619056986120042346""","""1619056986120042356"""
,memory copy task,222,166,"""78.49""","""1619056986119996526""","""1619056986120075016"""
,memory copy task,222,167,"""159.3""","""1619056986120075126""","""1619056986120234426"""
,memory copy task,222,168,"""157.27""","""1619056986120234536""","""1619056986120391806"""
,memory copy task,222,169,"""1.35""","""1619056986120391906""","""1619056986120393256"""
,memory copy task,222,170,"""1.04""","""1619056986120393356""","""1619056986120394396"""
,memory copy task,222,171,"""1.17""","""1619056986120394506""","""1619056986120395676"""
,event record task,222,172,"""0.0""","""1619056986120395786""","""1619056986120395786"""
,memory copy task,222,173,"""0.82""","""1619056986120395896""","""1619056986120396716"""
,memory copy task,222,174,"""0.89""","""1619056986120396816""","""1619056986120397706"""
,memory copy task,222,175,"""0.8""","""1619056986120397806""","""1619056986120398606"""
,memory copy task,222,176,"""0.88""","""1619056986120398706""","""1619056986120399586"""
,memory copy task,222,177,"""0.8""","""1619056986120399686""","""1619056986120400486"""
,memory copy task,222,178,"""1.11""","""1619056986120400586""","""1619056986120401696"""
,memory copy task,222,179,"""0.91""","""1619056986120401796""","""1619056986120402706"""
,memory copy task,222,180,"""0.87""","""1619056986120402816""","""1619056986120403686"""
,event record task,222,181,"""0.0""","""1619056986120403796""","""1619056986120403796"""
,memory copy task,222,182,"""0.85""","""1619056986120403896""","""1619056986120404746"""
,memory copy task,222,183,"""0.93""","""1619056986120404846""","""1619056986120405776"""
,memory copy task,222,184,"""0.78""","""1619056986120405886""","""1619056986120406666"""
,memory copy task,222,185,"""0.87""","""1619056986120406776""","""1619056986120407646"""
,memory copy task,222,186,"""0.82""","""1619056986120407746""","""1619056986120408566"""
,memory copy task,222,187,"""41.77""","""1619056986120408666""","""1619056986120450436"""
,memory copy task,222,188,"""39.73""","""1619056986120450546""","""1619056986120490276"""
,memory copy task,222,189,"""0.73""","""1619056986120490386""","""1619056986120491116"""
,event record task,222,190,"""0.01""","""1619056986120491216""","""1619056986120491226"""
,memory copy task,222,191,"""0.79""","""1619056986120491326""","""1619056986120492116"""
,memory copy task,222,192,"""1.42""","""1619056986120492226""","""1619056986120493646"""
,memory copy task,222,193,"""0.84""","""1619056986120493746""","""1619056986120494586"""
,memory copy task,222,194,"""0.94""","""1619056986120494696""","""1619056986120495636"""
,memory copy task,222,195,"""0.87""","""1619056986120495746""","""1619056986120496616"""
,memory copy task,222,196,"""1.2""","""1619056986120496716""","""1619056986120497916"""
,memory copy task,222,197,"""0.83""","""1619056986120498026""","""1619056986120498856"""
,memory copy task,222,198,"""0.9""","""1619056986120498956""","""1619056986120499856"""
,event record task,222,199,"""0.01""","""1619056986120499956""","""1619056986120499966"""
,memory copy task,222,200,"""0.88""","""1619056986120500066""","""1619056986120500946"""
,memory copy task,222,201,"""0.92""","""1619056986120501046""","""1619056986120501966"""
,memory copy task,222,202,"""0.74""","""1619056986120502076""","""1619056986120502816"""
,memory copy task,222,203,"""0.81""","""1619056986120502916""","""1619056986120503726"""
,memory copy task,222,204,"""0.74""","""1619056986120503826""","""1619056986120504566"""
,memory copy task,222,205,"""0.96""","""1619056986120504666""","""1619056986120505626"""
,memory copy task,222,206,"""0.85""","""1619056986120505726""","""1619056986120506576"""
,memory copy task,222,207,"""0.87""","""1619056986120506676""","""1619056986120507546"""
,event record task,222,208,"""0.01""","""1619056986120507646""","""1619056986120507656"""
,memory copy task,222,209,"""0.93""","""1619056986120507756""","""1619056986120508686"""
,memory copy task,222,210,"""0.87""","""1619056986120508786""","""1619056986120509656"""
,memory copy task,222,211,"""0.8""","""1619056986120509766""","""1619056986120510566"""
,memory copy task,222,212,"""0.77""","""1619056986120510676""","""1619056986120511446"""
,memory copy task,222,213,"""0.78""","""1619056986120511546""","""1619056986120512326"""
,memory copy task,222,214,"""22.66""","""1619056986120512426""","""1619056986120535086"""
,memory copy task,222,215,"""20.89""","""1619056986120535196""","""1619056986120556086"""
,memory copy task,222,216,"""38.74""","""1619056986120556186""","""1619056986120594926"""
,memory copy task,222,217,"""42.23""","""1619056986120595036""","""1619056986120637266"""
,memory copy task,222,218,"""1.34""","""1619056986120637366""","""1619056986120638706"""
,memory copy task,222,219,"""0.98""","""1619056986120638806""","""1619056986120639786"""
,memory copy task,222,220,"""1.02""","""1619056986120639886""","""1619056986120640906"""
,event record task,222,221,"""0.0""","""1619056986120641016""","""1619056986120641016"""
,memory copy task,222,222,"""0.94""","""1619056986120641126""","""1619056986120642066"""
,memory copy task,222,223,"""0.91""","""1619056986120642166""","""1619056986120643076"""
,memory copy task,222,224,"""0.74""","""1619056986120643176""","""1619056986120643916"""
,memory copy task,222,225,"""0.81""","""1619056986120644016""","""1619056986120644826"""
,memory copy task,222,226,"""0.8""","""1619056986120644926""","""1619056986120645726"""
,memory copy task,222,227,"""1.04""","""1619056986120645826""","""1619056986120646866"""
,memory copy task,222,228,"""0.85""","""1619056986120646966""","""1619056986120647816"""
,memory copy task,222,229,"""0.87""","""1619056986120647916""","""1619056986120648786"""
,event record task,222,230,"""0.01""","""1619056986120648886""","""1619056986120648896"""
,memory copy task,222,231,"""0.93""","""1619056986120648996""","""1619056986120649926"""
,memory copy task,222,232,"""0.87""","""1619056986120650026""","""1619056986120650896"""
,memory copy task,222,233,"""0.77""","""1619056986120651006""","""1619056986120651776"""
,memory copy task,222,234,"""0.77""","""1619056986120651886""","""1619056986120652656"""
,memory copy task,222,235,"""0.81""","""1619056986120652756""","""1619056986120653566"""
,memory copy task,222,236,"""11.2""","""1619056986120653666""","""1619056986120664866"""
,memory copy task,222,237,"""11.02""","""1619056986120664966""","""1619056986120675986"""
,memory copy task,222,238,"""1.25""","""1619056986120676086""","""1619056986120677336"""
,memory copy task,222,239,"""0.91""","""1619056986120677436""","""1619056986120678346"""
,memory copy task,222,240,"""1.23""","""1619056986120678446""","""1619056986120679676"""
,memory copy task,222,241,"""0.92""","""1619056986120679786""","""1619056986120680706"""
,memory copy task,222,242,"""0.9""","""1619056986120680806""","""1619056986120681706"""
,event record task,222,243,"""0.01""","""1619056986120681806""","""1619056986120681816"""
,memory copy task,222,244,"""0.9""","""1619056986120681936""","""1619056986120682836"""
,memory copy task,222,245,"""0.99""","""1619056986120682936""","""1619056986120683926"""
,memory copy task,222,246,"""0.77""","""1619056986120684026""","""1619056986120684796"""
,memory copy task,222,247,"""0.83""","""1619056986120684906""","""1619056986120685736"""
,memory copy task,222,248,"""0.77""","""1619056986120685836""","""1619056986120686606"""
,memory copy task,222,249,"""1.05""","""1619056986120686706""","""1619056986120687756"""
,memory copy task,222,250,"""0.81""","""1619056986120687856""","""1619056986120688666"""
,memory copy task,222,251,"""0.89""","""1619056986120688766""","""1619056986120689656"""
,event record task,222,252,"""0.01""","""1619056986120689756""","""1619056986120689766"""
,memory copy task,222,253,"""0.89""","""1619056986120689866""","""1619056986120690756"""
,memory copy task,222,254,"""1.02""","""1619056986120690856""","""1619056986120691876"""
,memory copy task,222,255,"""0.76""","""1619056986120691986""","""1619056986120692746"""
,memory copy task,222,256,"""0.78""","""1619056986120692846""","""1619056986120693626"""
,memory copy task,222,257,"""0.73""","""1619056986120693726""","""1619056986120694456"""
,memory copy task,222,258,"""6.11""","""1619056986120694556""","""1619056986120700666"""
,memory copy task,222,259,"""5.85""","""1619056986120700766""","""1619056986120706616"""
,event record task,848,9,"""0.01""","""1619056986120717106""","""1619056986120717116"""
,memory copy task,222,260,"""11.02""","""1619056986120706726""","""1619056986120717746"""
,memory copy task,222,261,"""10.9""","""1619056986120717846""","""1619056986120728746"""
,memory copy task,222,262,"""1.1""","""1619056986120728846""","""1619056986120729946"""
,memory copy task,222,263,"""0.89""","""1619056986120730056""","""1619056986120730946"""
,memory copy task,222,264,"""1.18""","""1619056986120731056""","""1619056986120732236"""
,event record task,222,265,"""0.0""","""1619056986120732346""","""1619056986120732346"""
,memory copy task,222,266,"""1.06""","""1619056986120732456""","""1619056986120733516"""
,memory copy task,222,267,"""1.18""","""1619056986120733626""","""1619056986120734806"""
,memory copy task,222,268,"""0.99""","""1619056986120734906""","""1619056986120735896"""
,memory copy task,222,269,"""1.03""","""1619056986120735996""","""1619056986120737026"""
,memory copy task,222,270,"""1.06""","""1619056986120737126""","""1619056986120738186"""
,memory copy task,222,271,"""1.2""","""1619056986120738286""","""1619056986120739486"""
,memory copy task,222,272,"""0.84""","""1619056986120739586""","""1619056986120740426"""
,memory copy task,222,273,"""1.06""","""1619056986120740526""","""1619056986120741586"""
,event record task,222,274,"""0.01""","""1619056986120741686""","""1619056986120741696"""
,memory copy task,222,275,"""1.05""","""1619056986120741796""","""1619056986120742846"""
,memory copy task,222,276,"""1.05""","""1619056986120742946""","""1619056986120743996"""
,memory copy task,222,277,"""1.07""","""1619056986120744096""","""1619056986120745166"""
,memory copy task,222,278,"""1.07""","""1619056986120745266""","""1619056986120746336"""
,memory copy task,222,279,"""1.03""","""1619056986120746436""","""1619056986120747466"""
,event record task,848,11,"""0.01""","""1619056986121292496""","""1619056986121292506"""
,event record task,848,13,"""0.0""","""1619056986121622146""","""1619056986121622146"""
,event reset task,281,17,"""0.04""","""1619056986121646646""","""1619056986121646686"""
0_1_discriminator/resblock_down_1/res1/conv_0/kernel/Initializer/truncated_normal/mul,kernel AI core task,281,18,"""3.58""","""1619056986121647046""","""1619056986121650626"""
,event record task,848,15,"""0.01""","""1619056986121964766""","""1619056986121964776"""
,event reset task,281,20,"""0.05""","""1619056986121984416""","""1619056986121984466"""
0_1_discriminator/resblock_down_1/skip/conv_0/kernel/Initializer/truncated_normal/mul,kernel AI core task,281,21,"""1.78""","""1619056986121984566""","""1619056986121986346"""
,stream wait event task,281,22,"""0.0""","""1619056986121986456""","""1619056986121986456"""
,event reset task,281,23,"""0.04""","""1619056986121986566""","""1619056986121986606"""
0_1_discriminator/self_attention/attn_conv/kernel/Initializer/truncated_normal/mul,kernel AI core task,281,24,"""3.36""","""1619056986121986716""","""1619056986121990076"""
,stream wait event task,281,25,"""0.01""","""1619056986121990176""","""1619056986121990186"""
,event reset task,281,26,"""0.05""","""1619056986121990606""","""1619056986121990656"""
0_1_generator/resblock_up_2/res1/batch_norm/beta/dense/kernel/Initializer/truncated_normal/mul,kernel AI core task,281,27,"""3.37""","""1619056986121990756""","""1619056986121994126"""
,stream wait event task,281,28,"""0.01""","""1619056986121994226""","""1619056986121994236"""
,event reset task,281,29,"""0.05""","""1619056986121994336""","""1619056986121994386"""
0_1_generator/resblock_up_2/res1/batch_norm/gamma/dense/kernel/Initializer/truncated_normal/mul,kernel AI core task,281,30,"""2.38""","""1619056986121994486""","""1619056986121996866"""
,stream wait event task,281,31,"""0.01""","""1619056986121996966""","""1619056986121996976"""
,event reset task,281,32,"""0.05""","""1619056986121997076""","""1619056986121997126"""
0_1_generator/resblock_up_4/res2/batch_norm/beta/dense/kernel/Initializer/truncated_normal/mul,kernel AI core task,281,33,"""2.42""","""1619056986121997226""","""1619056986121999646"""
,stream wait event task,281,34,"""0.01""","""1619056986121999746""","""1619056986121999756"""
,event reset task,281,35,"""0.05""","""1619056986121999856""","""1619056986121999906"""
0_1_generator/resblock_up_4/res2/batch_norm/gamma/dense/kernel/Initializer/truncated_normal/mul,kernel AI core task,281,36,"""2.45""","""1619056986122000006""","""1619056986122002456"""
0_1_discriminator/resblock_down_1/res1/conv_0/kernel/Assign,kernel AI core task,281,37,"""1.66""","""1619056986122002556""","""1619056986122004216"""
,event record task,848,17,"""0.01""","""1619056986122374936""","""1619056986122374946"""
,event reset task,281,39,"""0.05""","""1619056986122394126""","""1619056986122394176"""
0_1_generator/resblock_up_1/res1/batch_norm/beta/dense/kernel/Initializer/truncated_normal/mul,kernel AI core task,281,40,"""3.04""","""1619056986122394286""","""1619056986122397326"""
,event record task,848,19,"""0.0""","""1619056986122813226""","""1619056986122813226"""
,event reset task,281,42,"""0.04""","""1619056986122829666""","""1619056986122829706"""
0_1_generator/resblock_up_1/res1/batch_norm/gamma/dense/kernel/Initializer/truncated_normal/mul,kernel AI core task,281,43,"""2.68""","""1619056986122830096""","""1619056986122832776"""
,event record task,848,21,"""0.01""","""1619056986123278516""","""1619056986123278526"""
,event reset task,281,45,"""0.04""","""1619056986123293576""","""1619056986123293616"""
0_1_discriminator/resblock_down_1/res1/conv_0/u/Assign,kernel AI core task,281,46,"""1.59""","""1619056986123293996""","""1619056986123295586"""
,memory copy task,281,47,"""1.26""","""1619056986123295946""","""1619056986123297206"""
,memory copy task,281,48,"""1.12""","""1619056986123297306""","""1619056986123298426"""
